Date,Open,High,Low,Close,Volume
2026-02-12 11:35:00,2770.8,2771.5,2769.5,2771.0,31928
2026-02-12 11:36:00,2770.5,2771.2,2767.0,2768.3,25971
2026-02-12 11:37:00,2768.3,2768.6,2766.0,2766.6,17961
2026-02-12 11:38:00,2767.3,2767.3,2766.3,2767.0,13678
2026-02-12 11:39:00,2766.9,2769.5,2766.3,2769.1,17505
2026-02-12 11:40:00,2768.5,2770.0,2768.0,2769.8,15680
2026-02-12 11:41:00,2769.5,2770.1,2769.0,2769.8,10526
2026-02-12 11:42:00,2769.6,2769.6,2767.5,2768.8,14517
2026-02-12 11:43:00,2768.8,2772.7,2768.1,2772.5,20966
2026-02-12 11:44:00,2771.9,2772.9,2770.0,2772.9,17465
2026-02-12 11:45:00,2772.2,2776.2,2772.2,2775.3,31832
2026-02-12 11:46:00,2775.2,2775.2,2772.0,2773.5,12008
2026-02-12 11:47:00,2773.7,2773.7,2770.9,2772.0,12681
2026-02-12 11:48:00,2772.0,2772.2,2770.0,2770.2,19635
2026-02-12 11:49:00,2770.2,2770.5,2769.0,2769.3,12559
2026-02-12 11:50:00,2769.3,2769.5,2768.1,2769.5,11325
2026-02-12 11:51:00,2769.5,2769.8,2767.7,2768.0,23047
2026-02-12 11:52:00,2768.3,2768.9,2767.8,2767.8,13953
2026-02-12 11:53:00,2768.0,2768.0,2767.0,2767.8,11754
2026-02-12 11:54:00,2767.8,2769.0,2767.4,2768.1,14025
2026-02-12 11:55:00,2768.0,2768.1,2767.0,2767.5,9463
2026-02-12 11:56:00,2767.5,2768.0,2767.0,2767.5,8039
2026-02-12 11:57:00,2767.5,2768.7,2767.0,2768.0,10354
2026-02-12 11:58:00,2768.0,2770.8,2768.0,2770.8,17297
2026-02-12 11:59:00,2770.7,2771.4,2769.8,2770.7,20211
2026-02-12 12:00:00,2770.7,2771.5,2768.0,2771.5,17770
2026-02-12 12:01:00,2771.5,2771.9,2770.3,2771.3,6883
2026-02-12 12:02:00,2771.4,2771.6,2770.6,2771.5,7890
2026-02-12 12:03:00,2771.5,2771.6,2769.0,2769.0,16597
2026-02-12 12:04:00,2768.9,2769.2,2767.5,2768.9,15426
2026-02-12 12:05:00,2768.9,2769.2,2768.4,2769.1,9045
2026-02-12 12:06:00,2769.1,2771.0,2769.1,2770.3,12424
2026-02-12 12:07:00,2770.8,2771.0,2770.0,2770.3,13815
2026-02-12 12:08:00,2770.3,2771.1,2769.1,2770.5,12178
2026-02-12 12:09:00,2771.0,2771.3,2770.0,2771.0,8439
2026-02-12 12:10:00,2771.2,2771.3,2769.0,2769.7,10921
2026-02-12 12:11:00,2769.5,2769.5,2767.8,2767.9,12911
2026-02-12 12:12:00,2767.9,2768.7,2767.4,2767.9,7032
2026-02-12 12:13:00,2767.6,2768.8,2767.0,2768.4,6593
2026-02-12 12:14:00,2768.4,2768.8,2767.0,2767.1,6774
2026-02-12 12:15:00,2767.9,2769.1,2767.1,2769.1,9339
2026-02-12 12:16:00,2769.0,2770.3,2768.9,2770.2,7964
2026-02-12 12:17:00,2770.6,2771.6,2769.1,2771.5,10518
2026-02-12 12:18:00,2771.5,2775.0,2771.4,2774.8,13567
2026-02-12 12:19:00,2774.1,2775.0,2773.3,2774.9,16579
2026-02-12 12:20:00,2775.0,2775.4,2772.7,2773.9,22226
2026-02-12 12:21:00,2774.8,2774.8,2772.9,2773.9,11912
2026-02-12 12:22:00,2773.9,2773.9,2771.0,2771.5,12139
2026-02-12 12:23:00,2771.5,2771.5,2770.2,2771.0,12108
2026-02-12 12:24:00,2771.0,2771.0,2768.3,2768.9,18938
2026-02-12 12:25:00,2769.6,2771.9,2769.1,2771.0,10482
2026-02-12 12:26:00,2771.0,2773.4,2770.3,2770.9,10552
2026-02-12 12:27:00,2771.2,2771.2,2768.1,2768.3,14660
2026-02-12 12:28:00,2768.3,2768.6,2766.3,2766.9,30680
2026-02-12 12:29:00,2766.9,2767.1,2765.1,2765.9,31856
2026-02-12 12:30:00,2765.8,2766.8,2765.0,2766.6,15478
2026-02-12 12:31:00,2766.7,2767.0,2765.7,2766.9,7537
2026-02-12 12:32:00,2766.2,2767.0,2766.0,2767.0,13781
2026-02-12 12:33:00,2767.0,2767.0,2765.6,2765.6,14410
